sector	c
http://dbpedia.org/resource/Advertising	65
http://dbpedia.org/resource/Aerospace	256
http://dbpedia.org/resource/Aerospace_engineering	45
http://dbpedia.org/resource/Agriculture	48
http://dbpedia.org/resource/Alcoholic_beverage	163
http://dbpedia.org/resource/Animation	54
http://dbpedia.org/resource/Arms_industry	102
http://dbpedia.org/resource/Automotive_industry	412
http://dbpedia.org/resource/Aviation	1584
http://dbpedia.org/resource/Bank	302
http://dbpedia.org/resource/Biotechnology	100
http://dbpedia.org/resource/Brewery	45
http://dbpedia.org/resource/Broadcasting	63
http://dbpedia.org/resource/Car	89
http://dbpedia.org/resource/Chemical_industry	44
http://dbpedia.org/resource/Clothing	79
http://dbpedia.org/resource/Computer_hardware	97
http://dbpedia.org/resource/Conglomerate_(company)	116
http://dbpedia.org/resource/Construction	118
http://dbpedia.org/resource/Consumer_electronics	99
http://dbpedia.org/resource/Drink	61
http://dbpedia.org/resource/E-commerce	66
http://dbpedia.org/resource/Education	57
http://dbpedia.org/resource/Electronics	137
http://dbpedia.org/resource/Energy	49
http://dbpedia.org/resource/Engineering	91
http://dbpedia.org/resource/Entertainment	135
http://dbpedia.org/resource/Fashion	83
http://dbpedia.org/resource/Fast_food	49
http://dbpedia.org/resource/Film	133
http://dbpedia.org/resource/Film_industry	70
http://dbpedia.org/resource/Finance	112
http://dbpedia.org/resource/Financial_services	777
http://dbpedia.org/resource/Food	81
http://dbpedia.org/resource/Food_processing	62
http://dbpedia.org/resource/Freight_transport	42
http://dbpedia.org/resource/Health_care	128
http://dbpedia.org/resource/Hospitality	55
http://dbpedia.org/resource/Hotel	51
http://dbpedia.org/resource/Information_technology	145
http://dbpedia.org/resource/Information_technology_consulting	58
http://dbpedia.org/resource/Insurance	121
http://dbpedia.org/resource/Interactive_entertainment	128
http://dbpedia.org/resource/Internet	148
http://dbpedia.org/resource/Investment	61
http://dbpedia.org/resource/Investment_management	49
http://dbpedia.org/resource/IT_service_management	62
http://dbpedia.org/resource/List_of_oil_exploration_and_production_companies	51
http://dbpedia.org/resource/Logistics	62
http://dbpedia.org/resource/Manufacturing	189
http://dbpedia.org/resource/Marketing	45
http://dbpedia.org/resource/Mass_media	168
http://dbpedia.org/resource/Mechanical_engineering	40
http://dbpedia.org/resource/Military	46
http://dbpedia.org/resource/Mining	93
http://dbpedia.org/resource/Music	52
http://dbpedia.org/resource/Music_industry	42
http://dbpedia.org/resource/Musical_instrument	90
http://dbpedia.org/resource/Petroleum_industry	111
http://dbpedia.org/resource/Pharmaceutical_drug	72
http://dbpedia.org/resource/Pharmaceutical_industry	70
http://dbpedia.org/resource/Private_equity	116
http://dbpedia.org/resource/Public_transport	40
http://dbpedia.org/resource/Publishing	122
http://dbpedia.org/resource/Rail_transport	84
http://dbpedia.org/resource/Real_estate	127
http://dbpedia.org/resource/Restaurant	163
http://dbpedia.org/resource/Retail	738
http://dbpedia.org/resource/Semiconductor	86
http://dbpedia.org/resource/Shipbuilding	51
http://dbpedia.org/resource/Show_business	47
http://dbpedia.org/resource/Software	511
http://dbpedia.org/resource/Software_engineering	99
http://dbpedia.org/resource/Sports_equipment	61
http://dbpedia.org/resource/Technology	54
http://dbpedia.org/resource/Telecommunication	525
http://dbpedia.org/resource/Television	75
http://dbpedia.org/resource/Tourism	53
http://dbpedia.org/resource/Transport	129
http://dbpedia.org/resource/Video_game	91
http://dbpedia.org/resource/Video_game_industry	549
http://de.dbpedia.org/resource/Autohersteller	587
http://de.dbpedia.org/resource/Automobilzulieferer	58
http://de.dbpedia.org/resource/Bergbau	46
http://de.dbpedia.org/resource/Brauerei	101
http://de.dbpedia.org/resource/Buchverlag	43
http://de.dbpedia.org/resource/Chemische_Industrie	46
http://de.dbpedia.org/resource/Einzelhandel	99
http://de.dbpedia.org/resource/Energieversorgung	61
http://de.dbpedia.org/resource/Finanzdienstleistung	40
http://de.dbpedia.org/resource/Großhandel	46
http://de.dbpedia.org/resource/Informationstechnik	65
http://de.dbpedia.org/resource/Logistik	69
http://de.dbpedia.org/resource/Maschinenbau	124
http://de.dbpedia.org/resource/Pharmazie	48
http://de.dbpedia.org/resource/Software	55
http://de.dbpedia.org/resource/Softwaretechnik	90
http://de.dbpedia.org/resource/Telekommunikation	130
http://de.dbpedia.org/resource/Verlag	104
http://de.dbpedia.org/resource/Versicherer	72
